raw_person_id,raw_name,normalized_name,canonical_key,suggested_canonical_name,mention_letters_count,sender_letters_count,recipient_letters_count,action,canonical_name_override,notes
2267,Alston Hayne,alston hayne,alston_hayne,Alston Hayne,5,0,0,review,,
3480,Alston Kayne,alston kayne,alston_kayne,Alston Kayne,1,0,0,review,,
2336,Amma,amma,amma,Amma,1,0,0,review,,
3209,anball,anball,anball,anball,1,0,0,review,,
2942,Anderdanck,anderdanck,anderdanck,Anderdanck,1,0,0,review,,
1557,Anderson,anderson,anderson,Anderson,49,0,0,review,,
3724,Anderson & Neeley,anderson  neeley,anderson__neeley,Anderson & Neeley,1,0,0,review,,
3260,Anderson C,anderson c,anderson_c,Anderson C,2,0,0,review,,
1787,Anderson C. House,anderson c house,anderson_c_house,Anderson C. House,1,0,0,review,,
1556,Anderson C.H.,anderson ch,anderson_ch,Anderson C.H.,16,0,0,review,,
1727,Anderson Court,anderson court,anderson_court,Anderson Court,2,0,0,review,,
3051,Andersons,andersons,andersons,Andersons,1,0,0,review,,
3286,Andrew B. Crook,andrew b crook,andrew_b_crook,Andrew B.] Crook,1,0,0,review,,
5348,Andrew B.] Crook,andrew b crook,andrew_b_crook,Andrew B.] Crook,1,0,0,review,,
2185,Andrew Gordon Magrath,andrew gordon magrath,andrew_gordon_magrath,Andrew Gordon] Magrath,1,0,0,review,,
4162,Andrew Gordon] Magrath,andrew gordon magrath,andrew_gordon_magrath,Andrew Gordon] Magrath,1,0,0,review,,
3054,Andrew P. Butler,andrew p butler,andrew_p_butler,Andrew P.] Butler,2,0,0,review,,
5097,Andrew P.] Butler,andrew p butler,andrew_p_butler,Andrew P.] Butler,1,0,0,review,,
3355,Andrew Pickens,andrew pickens,andrew_pickens,Andrew Pickens,1,0,0,review,,
2431,Andrew Pickens Butler,andrew pickens butler,andrew_pickens_butler,Andrew Pickens] Butler,2,0,0,review,,
4429,Andrew Pickens] Butler,andrew pickens butler,andrew_pickens_butler,Andrew Pickens] Butler,2,0,0,review,,
