canonical_key,full_name,display_name,birth_year,death_year,birth_place_id,death_place_id,race_code,gender,class_code,occupation,home_region_sc_code,enslaved_status,source_density_code,representation_depth_code,erasure_flag,erasure_reason_code,notes
bf_perry,B.F.  Perry,B.F.  Perry,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 1,261,267,5471"
unknown,&,&,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 4192
annas,& Annas,& Annas,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 1726,4327"
col,& Col,& Col,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 1959,5079"
franks,& Franks,& Franks,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2360,5165"
hammond,& Hammond,& Hammond,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2203,5273"
harriett,& Harriett,& Harriett,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2991,5031"
warren,& Warren,& Warren,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2350,5331"
c,&c.,&c.,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 4205,4335"
138,138,138,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3720
charles_alexander_thornwell,[Charles Alexander] Thornwell,[Charles Alexander] Thornwell,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2726,4744"
earl_van_dorn,[Earl] Van Dorn,[Earl] Van Dorn,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 3313,5378"
george_d_tillman,[George D. Tillman,[George D. Tillman,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 3271,5333"
george_mcduffie,[George] McDuffie,[George] McDuffie,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 1622,3582,4473"
hon,[Hon,[Hon,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 4726
john_c_calhoun,[John C.] Calhoun &,[John C.] Calhoun &,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2000,3971"
john_izard_middleton,[John Izard] Middleton,[John Izard] Middleton,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2316,4668"
john_livingston,[John] Livingston,[John] Livingston,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2363,4360,4835"
john_pettit,[John] Pettit,[John] Pettit,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 3292,5411"
lewis_cass,[Lewis] Cass,[Lewis] Cass,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2836,4858"
thomas,[Thomas,[Thomas,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 1908,5380"
thomas_martin_wagner,[Thomas Martin] Wagner,[Thomas Martin] Wagner,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 1921,3890"
thomas_stephen,[Thomas Stephen],[Thomas Stephen],,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 3109,5158"
william_alexander_rosborough,[William Alexander] Rosborough,[William Alexander] Rosborough,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2780,4800"
william_lowndes,[William Lowndes],[William Lowndes],,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 1744,3705"
william_blanding,[William] Blanding,[William] Blanding,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2557,4563"
f_mccaw_of,] F. McCaw of,] F. McCaw of,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 4038
a_p_script,A P. Script,A P. Script,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2220,4199"
a_allston,A. Allston,A. Allston,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1729
a_burt,A. Burt,A. Burt,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2736
ap_hayne,A.P. Hayne,A.P. Hayne,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1916
aw_hanger,A.W. Hanger,A.W. Hanger,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3071
arthur_hayne,A[rthur] Hayne,A[rthur] Hayne,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 1668,3319"
abbott,Abbott,Abbott,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3119
absalom_blythe,Absalom Blythe,Absalom Blythe,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2120
adam,Adam,Adam,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2791
adam_jones,Adam Jones,Adam Jones,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3033
adams,Adams,Adams,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1737
adams_run,Adams Run,Adams Run,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1783
adieu,Adieu,Adieu,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1634
adley_hogan,Adley Hogan],Adley Hogan],,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 3229,5288"
aiken,Aiken,Aiken,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1709
aikens_reg,Aikens Reg,Aikens Reg,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3246
akins,Akins,Akins,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2803
al,Al,Al,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2834,4899"
allston,Al]l]ston,Al]l]ston,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 1673,5080,5081"
albert_micajah,Albert Micajah,Albert Micajah,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2802
albert_rhett,Albert Rhett,Albert Rhett,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2473
albert_rhetts,Albert Rhetts,Albert Rhetts,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3107
aldrich,Aldrich,Aldrich,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2763
aldridge,Aldridge,Aldridge,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2268
aleck,Aleck,Aleck,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3139
alex_mcbee,Alex McBee,Alex McBee,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2547
alex_robertson,Alex Robertson,Alex Robertson,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1705
alex_taylor,Alex Taylor,Alex Taylor,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2793
alexander,Alexander,Alexander,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2343
alexander_dromgoole_sims_of_darlington,Alexander Dromgoole] Sims of Darlington,Alexander Dromgoole] Sims of Darlington,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2556,4562"
alexander_evins,Alexander] Evins,Alexander] Evins,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2876,4904"
alexander_mcbee,Alexander McBee,Alexander McBee,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2073
alexander_taylor,Alexander Taylor,Alexander Taylor,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2033
alexandria,Alexandria,Alexandria,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2447
alfred,Alfred,Alfred,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1728
alfred_huger,Alfred Huger,Alfred Huger,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3283
alice_roberts,Alice Roberts,Alice Roberts,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2321
allan,Allan,Allan,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3472
allard_belin_flagg,Allard Belin] Flagg,Allard Belin] Flagg,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2491,4493"
alleier_barrett,Alleier Barrett,Alleier Barrett,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2757
allen,Allen,Allen,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2135
allen_merrits,Allen Merrits,Allen Merrits,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2172
allens,Allens,Allens,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3491
alston,Alston,Alston,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2538
alston_hayne,Alston Hayne,Alston Hayne,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2267
alston_kayne,Alston Kayne,Alston Kayne,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3480
amma,Amma,Amma,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2336
anball,anball,anball,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3209
anderdanck,Anderdanck,Anderdanck,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2942
anderson,Anderson,Anderson,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1557
anderson__neeley,Anderson & Neeley,Anderson & Neeley,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3724
anderson_c,Anderson C,Anderson C,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3260
anderson_c_house,Anderson C. House,Anderson C. House,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1787
anderson_ch,Anderson C.H.,Anderson C.H.,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1556
anderson_court,Anderson Court,Anderson Court,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1727
andersons,Andersons,Andersons,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3051
andrew_b_crook,Andrew B.] Crook,Andrew B.] Crook,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 3286,5348"
andrew_gordon_magrath,Andrew Gordon] Magrath,Andrew Gordon] Magrath,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2185,4162"
andrew_p_butler,Andrew P.] Butler,Andrew P.] Butler,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 3054,5097"
andrew_pickens,Andrew Pickens,Andrew Pickens,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3355
andrew_pickens_butler,Andrew Pickens] Butler,Andrew Pickens] Butler,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2431,4429"
andy,Andy,Andy,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2156
andy_johnson,Andy Johnson,Andy Johnson,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3266
ann,Ann,Ann,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2365
anna,Anna &,Anna &,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 1640,4936"
anna_green,Anna Green,Anna Green,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2804
anna_hayne,Anna Hayne,Anna Hayne,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2394
anna_mos,Anna Mos,Anna Mos,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3217
anna_perry,Anna Perry,Anna Perry,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 288
anna_recd,Anna recd,Anna recd,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 4993
anna_trezevants,Anna Trezevants,Anna Trezevants,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2904
annapolis,Annapolis,Annapolis,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1669
anne,Anne,Anne,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1798
anne_williams,Anne Williams,Anne Williams,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2663
annie,Annie,Annie,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2332
annie_mcbee,Annie McBee,Annie McBee,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3123
antwerp,Antwerp,Antwerp,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2018
armistead_burt,Armistead Burt,Armistead Burt,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2801
arnold,Arnold,Arnold,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1838
arthur,Arthur,Arthur,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1642
arthur_p_hayne,Arthur P. Hayne,Arthur P. Hayne,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2083
arthur_simpkins,Arthur Simpkins,Arthur Simpkins,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2963
arthurs,Arthurs,Arthurs,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1909
arthurs_rail_road,Arthurs Rail Road,Arthurs Rail Road,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3141
arthus,Arthus,Arthus,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2609
asa_hodges,Asa Hodges,Asa Hodges,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1871
ashe,Ashe,Ashe,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2576
augustus_hoke,Augustus Hoke,Augustus Hoke,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1897
augustus_townes,Augustus Townes,Augustus Townes,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2730
augustus_townes_bride,Augustus Townes Bride,Augustus Townes Bride,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2795
aunt_annie,Aunt Annie,Aunt Annie,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2442
aunt_hayne,Aunt Hayne,Aunt Hayne,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2387
aunt_susan,Aunt Susan,Aunt Susan,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2563
austen,Austen,Austen,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3317
austin,Austin,Austin,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2211
away,Away,Away,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2798
b,B.,B.,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 5136
b_carrol,B. Carrol,B. Carrol,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2423
b_f_perry,B. F. Perry,B. F. Perry,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 143
bf_heard,B.F. Heard,B.F. Heard,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3211
bf_hunt,B.F. Hunt,B.F. Hunt,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3258
bf_perry_jr,B.F. Perry Jr.,B.F. Perry Jr.,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 852
bfp,B.F.P.,B.F.P.,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 447
bj_perry,B.J. Perry,B.J. Perry,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 935
bt_perry,B.T. Perry,B.T. Perry,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2324
bword,B[word,B[word,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2938
babcock,Babcock,Babcock,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3112
bacon,Bacon,Bacon,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2036
bad,Bad,Bad,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2903
bailey,Bail[e]y,Bail[e]y,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2339,3041"
bailor,Bailor,Bailor,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3011
baker,Baker,Baker,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1965
ball,Ball,Ball,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1663
ballard,Ballard,Ballard,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2840
bancroft,Bancroft,Bancroft,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1872
banks,Banks,Banks,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2787
barclay,Barclay,Barclay,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2606
barksdale,Barksdale,Barksdale,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1956
barksdales,Barksdales,Barksdales,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3240
barn,Barn,Barn,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2878
barnes,Barnes,Barnes,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3498
barnett,Barnett,Barnett,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2323
barnetts,Barnetts,Barnetts,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3108
barnwell,Barnwell,Barnwell,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1847
barnwell_duncan,Barnwell Duncan,Barnwell Duncan,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3095
barnwell_rhett,Barnwell Rhett,Barnwell Rhett,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1943
barrel,Barrel,Barrel,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3420
barret,Barret,Barret,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3239
barrett,Barrett,Barrett,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2397
barrow,Barrow,Barrow,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1945
bartell,Bartell,Bartell,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3079
barton,Barton,Barton,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2421
bartows,Bartows,Bartows,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3043
bates,Bates,Bates,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3144
battle,Battle,Battle,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2271
baxter,Baxter,Baxter,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2338
baylis_crayton,Baylis Crayton,Baylis Crayton,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2842
beadon,Beadon,Beadon,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1895
beadons,Beadons,Beadons,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2235
beard,Beard,Beard,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2975
beattie,Beattie,Beattie,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1350
beattie_annas,Beattie Annas,Beattie Annas,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3475
beatty,Beatty,Beatty,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2059
beaufort_watts,Beaufort Watts,Beaufort Watts,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2290
beauregard,Beauregard,Beauregard,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3142
beauregardsome,Beauregardsome,Beauregardsome,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3074
becky,Becky,Becky,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3208
becky_sharp,Becky Sharp,Becky Sharp,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2340
bee,Bee,Bee,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2897
behre,Behre,Behre,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3008
bell,Bell,Bell,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3012
belton,Belton,Belton,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2266
ben,Ben,Ben,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 1806,2833"
ben__jack,Ben & Jack,Ben & Jack,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2377
ben_goodlettsnone,Ben Goodlettsnone,Ben Goodlettsnone,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1955
ben_mcculloch,Ben McCulloch,Ben McCulloch,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3003
ben_mcdaniel,Ben McDaniel,Ben McDaniel,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2720
ben_perry,Ben Perry,Ben Perry,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2317
ben_yancey,Ben Yancey,Ben Yancey,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2466,4465"
ben_yanceys,Ben Yanceys,Ben Yanceys,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1971
benedict,Benedict,Benedict,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2532
benedict_arnold,Benedict Arnold,Benedict Arnold,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2164
benjamin_d_naebors,Benjamin D.] Naebors,Benjamin D.] Naebors,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 3118,5168"
benjamin_f_perry,Benjamin F. Perry,Benjamin F. Perry,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 916
benjamin_faneuil,Benjamin Faneuil,Benjamin Faneuil,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2425
benjamin_franklin_perry,Benjamin Franklin Perry,Benjamin Franklin Perry,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2697
benjamin_henry_willson,Benjamin Henry] Willson,Benjamin Henry] Willson,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2693,4709"
benjamin_perry,Benjamin Perry,Benjamin Perry,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1178
benson,Benson,Benson,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2628
benson_j_lossing,Benson J. Lossing,Benson J. Lossing,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3468
benson_j_lossing_esq,Benson J. Lossing Esq.,Benson J. Lossing Esq.,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1462
bensons,Bensons,Bensons,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2671
benton,Benton,Benton,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1743
betty_robinson,Betty Robinson,Betty Robinson,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1856
bill,Bill,Bill,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1647
bill_arps,Bill Arps,Bill Arps,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3361
bill_beattie,Bill Beattie,Bill Beattie,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2142
bill_fisher,Bill Fisher &,Bill Fisher &,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 3320,5488"
bill_jones,Bill Jones,Bill Jones,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3111
bill_thompson,Bill Thompson,Bill Thompson,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2329
billy_sherrord,Billy Sherrord,Billy Sherrord,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2262
birdsall,Birdsall,Birdsall,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3450
birnie,Birnie,Birnie,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3380
bishop_davis,Bishop Davis,Bishop Davis,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3220
bishop_doane,Bishop Doane,Bishop Doane,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3452
bishop_elliott,Bishop Elliott,Bishop Elliott,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2504
bivings,Bivings,Bivings,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3176
blackberry,Blackberry,Blackberry,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3137
blake,Blake,Blake,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1840
blanding,Blanding,Blanding,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2687
blands_ford,Blands Ford,Blands Ford,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2325
blassingame,Blassingame,Blassingame,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2079
blounts,Blounts,Blounts,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3388
boats,Boats,Boats,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2797
boatwright,Boatwright,Boatwright,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2695
bob,Bob,Bob,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1832
bob_m,Bob M,Bob M,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2094
bob_spurgeon,Bob Spurgeon,Bob Spurgeon,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1831
bobo,Bobo,Bobo,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2594
bobo__col,Bobo & Col,Bobo & Col,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 4666
boggs,Boggs,Boggs,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2038
boinest,Boinest,Boinest,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2389
boles,Boles,Boles,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1929
bolling,Bolling,Bolling,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2209
bollings,Bollings,Bollings,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2145
bonham,Bonham,Bonham,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1678
bonham_solicitor,Bonham Solicitor,Bonham Solicitor,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3505
bonnett,Bonnett,Bonnett,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3126
bookman,Bookman,Bookman,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1879
boozer,Boozer,Boozer,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2311
bossett,Bossett,Bossett,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1850
bostick,Bostick,Bostick,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1884
bowen,Bowen,Bowen,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2571
box,Box,Box,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1558
boyce,Boyce,Boyce,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1989
boylston,Boylston,Boylston,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3094
boysno,Boysno,Boysno,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3001
bozeman,Bozeman,Bozeman,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2310
brackenridge,Brackenridge,Brackenridge,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2243
bradford,Bradford,Bradford,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1661
bradley,Bradl[e]y,Bradl[e]y,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2639,3255"
bradleys,Bradl[e]ys,Bradl[e]ys,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 3274,5420"
bradly,Bradly,Bradly,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2379
bradshaw,Bradshaw,Bradshaw,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1969
brady,Brady,Brady,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2935
braggs,Braggs,Braggs,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2289
bramlett,Bramlett,Bramlett,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3073
branchville,Branchville,Branchville,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2075
brandy,Brandy,Brandy,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1973
brandy_station,Brandy Station,Brandy Station,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1972
bread,Bread,Bread,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1966
brenan,Brenan,Brenan,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2588
bridge,Bridge,Bridge,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1566
briggs,Briggs,Briggs,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3078
broach,Broach,Broach,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1797
broadcast,Broadcast,Broadcast,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3412
broadmouth,Broadmouth,Broadmouth,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2263
brooks,Brooks,Brooks,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1658
brown,Brown,Brown,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1776
browns,Browns,Browns,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1562
