canonical_key,full_name,display_name,birth_year,death_year,birth_place_id,death_place_id,race_code,gender,class_code,occupation,home_region_sc_code,enslaved_status,source_density_code,representation_depth_code,erasure_flag,erasure_reason_code,notes
gladden,Gladden,Gladden,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3136
gladden_the_bursar,Gladden the Bursar,Gladden the Bursar,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3252
glencoe,Glencoe,Glencoe,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2119
gliddon,Gliddon,Gliddon,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3159
glover,Glover,Glover,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2052
god,God,God,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1684
golding,Golding,Golding,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2872
goldsmith,Goldsmith,Goldsmith,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2521
goodlett,Goodlett,Goodlett,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2727
goodletts,Goodletts,Goodletts,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2152
goodnight,Goodnight,Goodnight,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3242
goodwin,Goodwin,Goodwin,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1828
goodwyn,Goodwyn,Goodwyn,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2619
gordon_pool,Gordon Pool,Gordon Pool,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3373
gourdin,Gourdin,Gourdin,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2725
governor_hampton,Governor Hampton,Governor Hampton,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1542
governor_pickens,Governor Pickens,Governor Pickens,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1194
governors,Governors,Governors,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2416
gowen,Gowen,Gowen,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2776
gowens,Gowens,Gowens,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3276
gower,Gower,Gower,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2891
grady,Grady,Grady,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2070
graham,Graham,Graham,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1722
grahamville,Grahamville,Grahamville,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2257
grandchildren,Grandchildren,Grandchildren,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2603
grandma,Grandma,Grandma,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2308
grant,Grant,Grant,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1953
grayson,Grayson,Grayson,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3294
grecian_temple,Grecian Temple,Grecian Temple,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2019
green,Green,Green,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1644
greene,Greene,Greene,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2393
greenes,Greenes,Greenes,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2796
greenfield,Greenfield,Greenfield,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2968
greens,Greens,Greens,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1833
greenville,Greenville,Greenville,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2160
