canonical_key,alias_name,source_id,notes
andersons,Andersons,,From BFPerry person_id=3051
andrew_b_crook,Andrew B. Crook,,From BFPerry person_id=3286
andrew_b_crook,Andrew B.] Crook,,From BFPerry person_id=5348
andrew_gordon_magrath,Andrew Gordon Magrath,,From BFPerry person_id=2185
andrew_gordon_magrath,Andrew Gordon] Magrath,,From BFPerry person_id=4162
andrew_p_butler,Andrew P. Butler,,From BFPerry person_id=3054
andrew_p_butler,Andrew P.] Butler,,From BFPerry person_id=5097
andrew_pickens,Andrew Pickens,,From BFPerry person_id=3355
andrew_pickens_butler,Andrew Pickens Butler,,From BFPerry person_id=2431
andrew_pickens_butler,Andrew Pickens] Butler,,From BFPerry person_id=4429
andy,Andy,,From BFPerry person_id=2156
andy_johnson,Andy Johnson,,From BFPerry person_id=3266
ann,Ann,,From BFPerry person_id=2365
anna,Anna,,From BFPerry person_id=1640
anna,Anna &,,From BFPerry person_id=4936
anna_green,Anna Green,,From BFPerry person_id=2804
anna_hayne,Anna Hayne,,From BFPerry person_id=2394
anna_mos,Anna Mos,,From BFPerry person_id=3217
anna_perry,Anna Perry,,From BFPerry person_id=288
anna_recd,Anna recd,,From BFPerry person_id=4993
anna_trezevants,Anna Trezevants,,From BFPerry person_id=2904
annapolis,Annapolis,,From BFPerry person_id=1669
anne,Anne,,From BFPerry person_id=1798
anne_williams,Anne Williams,,From BFPerry person_id=2663
annie,Annie,,From BFPerry person_id=2332
annie_mcbee,Annie McBee,,From BFPerry person_id=3123
antwerp,Antwerp,,From BFPerry person_id=2018
armistead_burt,Armistead Burt,,From BFPerry person_id=2801
arnold,Arnold,,From BFPerry person_id=1838
arthur,Arthur,,From BFPerry person_id=1642
arthur_p_hayne,Arthur P. Hayne,,From BFPerry person_id=2083
arthur_simpkins,Arthur Simpkins,,From BFPerry person_id=2963
arthurs,Arthurs,,From BFPerry person_id=1909
arthurs_rail_road,Arthurs Rail Road,,From BFPerry person_id=3141
arthus,Arthus,,From BFPerry person_id=2609
asa_hodges,Asa Hodges,,From BFPerry person_id=1871
ashe,Ashe,,From BFPerry person_id=2576
augustus_hoke,Augustus Hoke,,From BFPerry person_id=1897
augustus_townes,Augustus Townes,,From BFPerry person_id=2730
augustus_townes_bride,Augustus Townes Bride,,From BFPerry person_id=2795
aunt_annie,Aunt Annie,,From BFPerry person_id=2442
aunt_hayne,Aunt Hayne,,From BFPerry person_id=2387
aunt_susan,Aunt Susan,,From BFPerry person_id=2563
austen,Austen,,From BFPerry person_id=3317
austin,Austin,,From BFPerry person_id=2211
away,Away,,From BFPerry person_id=2798
b,B.,,From BFPerry person_id=5136
b_carrol,B. Carrol,,From BFPerry person_id=2423
b_f_perry,B. F. Perry,,From BFPerry person_id=143
bf_heard,B.F. Heard,,From BFPerry person_id=3211
bf_hunt,B.F. Hunt,,From BFPerry person_id=3258
bf_perry_jr,B.F. Perry Jr.,,From BFPerry person_id=852
bfp,B.F.P.,,From BFPerry person_id=447
bj_perry,B.J. Perry,,From BFPerry person_id=935
bt_perry,B.T. Perry,,From BFPerry person_id=2324
bword,B[word,,From BFPerry person_id=2938
babcock,Babcock,,From BFPerry person_id=3112
bacon,Bacon,,From BFPerry person_id=2036
bad,Bad,,From BFPerry person_id=2903
bailey,Bail[e]y,,From BFPerry person_id=3041
bailey,Bailey,,From BFPerry person_id=2339
bailor,Bailor,,From BFPerry person_id=3011
baker,Baker,,From BFPerry person_id=1965
ball,Ball,,From BFPerry person_id=1663
ballard,Ballard,,From BFPerry person_id=2840
bancroft,Bancroft,,From BFPerry person_id=1872
banks,Banks,,From BFPerry person_id=2787
barclay,Barclay,,From BFPerry person_id=2606
barksdale,Barksdale,,From BFPerry person_id=1956
barksdales,Barksdales,,From BFPerry person_id=3240
barn,Barn,,From BFPerry person_id=2878
barnes,Barnes,,From BFPerry person_id=3498
barnett,Barnett,,From BFPerry person_id=2323
barnetts,Barnetts,,From BFPerry person_id=3108
